checkpoint_step,seed,same_task_success,heldout_success
0,2,0.04375,0.5152777777777778
0,3,0.028125,0.5225694444444444
0,1234,0.04375,0.5180555555555555
100,1,0.521875,0.4878472222222222
25,1,0.10625,0.5086805555555556
50,1,0.25,0.4815972222222223
75,1,0.39375,0.4659722222222223
100,2,0.51875,0.5000000000000001
25,2,0.146875,0.5128472222222222
50,2,0.296875,0.5072916666666667
75,2,0.390625,0.509375
100,3,0.421875,0.45972222222222214
25,3,0.075,0.5045138888888888
50,3,0.159375,0.503125
75,3,0.25,0.48298611111111117
